t,u,theta,phi
2.65,-0.5235988,0.14417,0.5249918
2.66,-0.5235988,0.1602513,0.5249918
2.67,-0.5235988,0.1754169,0.5201294
2.68,-0.5235988,0.1896856,0.5249918
2.69,-0.5235988,0.2026205,0.5201294
2.7,-0.5235988,0.2143294,0.5249918
2.71,-0.5235988,0.2249592,0.5249918
2.72,-0.5235988,0.2341602,0.5249918
2.73,-0.5235988,0.2421749,0.5249918
2.74,-0.5235988,0.2485746,0.5249918
2.75,-0.5235988,0.2535815,0.5249918
2.76,-0.5235988,0.2569866,0.5249918
2.77,-0.5235988,0.2589629,0.5249918
2.78,-0.5235988,0.2594756,0.5249918
2.79,-0.5235988,0.2586859,0.5249918
2.8,-0.5235988,0.2561156,0.5249918
2.81,-0.5235988,0.2523529,0.5249918
2.82,-0.5235988,0.2471325,0.5249918
2.83,-0.5235988,0.2404274,0.5201294
2.84,-0.5235988,0.2322457,0.5249918
2.85,-0.5235988,0.2227994,0.5249918
2.86,-0.5235988,0.212055,0.5298541
2.87,-0.5235988,0.200206,0.5249918
2.88,-0.5235988,0.1873988,0.5249918
2.89,-0.5235988,0.1734913,0.5249918
2.9,-0.5235988,0.1583972,0.5249918
2.91,-0.5235988,0.1425729,0.5249918
2.92,-0.5235988,0.1259946,0.5201294
2.93,-0.5235988,0.1087872,0.5201294
2.94,-0.5235988,0.09072654,0.5249918
2.95,-0.5235988,0.07241069,0.5249918
2.96,-0.5235988,0.05350851,0.5249918
2.97,-0.5235988,0.03444568,0.5249918
2.98,-0.5235988,0.01540889,0.5249918
2.99,-0.5235988,-0.003812465,0.5249918
3,-0.5235988,-0.02258329,0.5249918
3.01,-0.5235988,-0.04166225,0.5201294
3.02,-0.5235988,-0.06008271,0.5249918
3.03,-0.5235988,-0.07835737,0.5201294
3.04,-0.5235988,-0.09604592,0.5249918
3.05,-0.5235988,-0.113117,0.5249918
3.06,-0.5235988,-0.1293935,0.5249918
3.07,-0.5235988,-0.1450786,0.5249918
3.08,-0.5235988,-0.1599211,0.5201294
3.09,-0.5235988,-0.173519,0.5249918
3.1,-0.5235988,-0.1861401,0.5249918
3.11,-0.5235988,-0.1976882,0.5249918
3.12,-0.5235988,-0.2080669,0.5249918
3.13,-0.5235988,-0.2173754,0.5249918
3.14,-0.5235988,-0.2253152,0.5249918
3.15,-0.5235988,-0.2320316,0.5249918
3.16,-0.5235988,-0.237334,0.5201294
3.17,-0.5235988,-0.2410793,0.5249918
3.18,-0.5235988,-0.243488,0.5249918
3.19,-0.5235988,-0.2445839,0.5249918
3.2,-0.5235988,-0.2441645,0.5249918
3.21,-0.5235988,-0.2423884,0.5249918
3.22,-0.5235988,-0.239364,0.5249918
3.23,-0.5235988,-0.2347879,0.5249918
3.24,-0.5235988,-0.228843,0.5249918
3.25,-0.5235988,-0.2217087,0.5249918
3.26,-0.5235988,-0.2133312,0.5249918
3.27,-0.5235988,-0.2036873,0.5249918
3.28,-0.5235988,-0.1929149,0.5249918
3.29,-0.5235988,-0.1810449,0.5249918
3.3,-0.5235988,-0.1681076,0.5249918
3.31,-0.5235988,-0.1543655,0.5249918
3.32,-0.5235988,-0.1397353,0.5201294
3.33,-0.5235988,-0.1241946,0.5249918
3.34,-0.5235988,-0.1080041,0.5249918
3.35,-0.5235988,-0.09142905,0.5249918
3.36,-0.5235988,-0.07421955,0.5249918
3.37,-0.5235988,-0.05649828,0.5201294
3.38,-0.5235988,-0.03890148,0.5249918
3.39,-0.5235988,-0.02084828,0.5249918
3.4,-0.5235988,-0.002641083,0.5249918
3.41,-0.5235988,0.01539348,0.5249918
3.42,-0.5235988,0.03300531,0.5201294
3.43,-0.5235988,0.050721,0.5249918
3.44,-0.5235988,0.06793559,0.5249918
3.45,-0.5235988,0.08465404,0.5249918
3.46,-0.5235988,0.100815,0.5249918
3.47,-0.5235988,0.1164934,0.5249918
3.48,-0.5235988,0.1313766,0.5201294
3.49,-0.5235988,0.1454232,0.5249918
3.5,-0.5235988,0.1586815,0.5249918
3.51,-0.5235988,0.1709647,0.5249918
3.52,-0.5235988,0.1822447,0.5201294
3.53,-0.5235988,0.1923387,0.5201294
3.54,-0.5235988,0.2013764,0.5249918
